stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
272447577,219101994,275005564,,,2
280810275,275791082,238785350,,,2
280810277,292041302,237354466,,,2
280810278,212319255,265898636,,,2
376858624,262793507,223742481,,,2
398156027,299445839,220697383,,,2
398156029,279249211,286827662,,,2
398156030,276374814,223380347,,,2
398156032,255946481,228637677,,,2
398413154,237022770,271396277,,,2
398733484,266735452,244342082,,,2
398733485,264248336,237138950,,,2
400808119,248435741,292041302,,,2
400814492,260447592,213092617,,,2
400814494,265448569,258203380,,,2
401013947,213377783,258579364,,,2
401013948,241718851,222542428,,,2
401029999,218965988,294534903,,,2
401429391,262549359,275646779,,,2
401429392,227192979,230820262,,,2
401429395,296907290,262243092,,,2
401429396,248337503,263902801,,,2
401429399,273924256,274518744,,,2
401430348,238648896,290302611,,,2
401430349,289334111,276868382,,,2
401435357,238171247,247329361,,,2
401438082,247118035,233005005,,,2
401438089,265488759,,,,1
401438097,296610051,291941569,,,2
401438099,218657304,289950082,,,2
401438101,294849249,257590575,,,2
401438103,264490917,278286300,,,2
401438107,298736424,289171225,,,2
401438109,282393613,293230209,,,2
401444651,259597297,230271276,,,2
401444672,246930586,240257665,,,2
401447819,263663906,273677120,,,2
401459378,253062893,257443005,,,2
401459380,212823217,253062893,,,2
401459388,271781902,228561879,,,2
401459389,219556026,220440843,,,2
401459392,215106088,211298291,,,2
401487655,228636359,282606928,,,2
401487656,248816720,228636359,,,2
401490089,242724212,,,,1
401490103,243119177,,,,1
401490322,224711807,245992913,,,2
401490799,213998803,275185470,,,2
401491777,219268288,296390627,,,2
401493540,254964358,229020001,,,2
401493881,273941505,,,,1
401495138,297546928,220528873,,,2
401495139,220064569,241335653,,,2
401495140,234740862,262268450,,,2
401495569,260693890,288741861,,,2
401495570,245407775,260693890,,,2
401598456,237004392,242548470,,,2
401598461,236651353,282900531,,,2
401598464,222366209,236651353,,,2
401606073,255220897,275761240,,,2
401606074,278498721,232813424,,,2
401611599,285329123,295270739,,,2
401611602,266897046,213430792,,,2
401632878,286244474,262076694,,,2
401632879,253870506,230655383,,,2
401634299,223271993,299060357,,,2
401635818,216330971,225390152,,,2
401635821,226711999,237107504,,,2
401635822,241252881,237107504,,,2
401636657,219519495,243278520,,,2
401636676,215356152,272568658,,,2
401636679,265628802,275230718,,,2
401637647,214123155,243882897,,,2
401638080,211150881,245376742,265818903,,3
401638081,264049795,296212021,,,2
408343914,289850002,,,,1
408343916,232729397,244999664,,,2
408343917,253036375,292835004,,,2
408343918,228237218,299660439,,,2
408343919,298646114,,,,1
408343920,241118280,,,,1
408343921,234163818,280841754,,,2
408343922,271272678,298756621,,,2
408343923,272159163,244600271,,,2
408343924,286522951,277586622,,,2
408343925,253202533,220476653,,,2
408343929,266946440,227691603,,,2
408343930,267934238,275941865,,,2
408343943,251750636,255478778,,,2
408344006,240400788,,,,1
451716624,293252054,225621120,,,2
451716625,212896326,225621120,,,2
451716626,231789391,286641387,,,2
549188733,283764596,,,,1
634418502,211300741,242298910,,,2
634419760,274768829,219836640,,,2
634419761,268335413,283533923,,,2
634422323,240312434,234149115,,,2
634422327,234503417,297699042,,,2
634424568,273465297,266120633,,,2
634425110,255405232,279473898,,,2
634425112,297263967,265765244,,,2
634425117,287233386,210446130,,,2
634425118,226069276,259117040,,,2
634425119,287542588,226069276,,,2
634428052,266659465,261872560,,,2
634428883,249572844,286743510,,,2
634428884,237368222,212280572,,,2
634430273,291182088,266911456,,,2
634432387,262077769,223261231,,,2
634432388,238704333,249757638,,,2
634432392,294526188,250369366,,,2
634432393,233680036,250369366,,,2
634432394,259707833,289101473,,,2
635092438,231450591,238254904,,,2
635092439,280147325,258193106,,,2
635092441,231055373,289725820,,,2
635092680,241776637,275946754,,,2
635092682,255237560,298708354,,,2
635092683,279368522,231494086,,,2
635094031,264139135,217345286,,,2
635457570,223065215,257384970,,,2
635457571,238186972,223065215,,,2
635457572,210078185,250495033,,,2
635457573,298891107,216124179,,,2
635457778,226223375,271783256,,,2
635457781,276388019,288617393,,,2
635457783,219400874,292471630,,,2
639780211,256445522,213743836,,,2
639781749,281897327,246285774,,,2
639781750,249498376,268733811,,,2
639782942,217321912,239578679,,,2
639784308,242204959,263779110,,,2
640142797,219286847,229047089,,,2
640142803,266639141,273062869,,,2
640144511,262836468,281745187,,,2
640252029,284412577,,,,1
640252057,227047909,247198642,,,2
640252059,223044200,240019013,,,2
640499181,211677197,247660383,,,2
640499895,222081797,216024081,,,2
640542439,251294585,214440895,,,2
640542444,297394926,254271642,,,2
640569691,254117293,290482527,,,2
640599516,293889887,212153704,,,2
640599519,276473755,276106098,,,2
640599520,216335712,,,,1
640603439,210792981,299640626,,,2
372478052,,,,,
401459393,,,,,
634428048,,,,,
640603441,267655708,229276488,,,2
640604310,245310722,243614743,,,2
640604556,233151043,292015295,,,2
643824695,265908592,251306863,,,2
643824697,281853150,229715519,,,2
643825613,272619562,223158160,,,2
643831937,287496721,235667960,,,2
643832722,294756375,266628326,,,2
643859302,293105797,245506202,,,2
643859303,289340844,257213642,,,2
643861002,262059103,256487686,,,2
643862023,269650022,262410018,,,2
643864201,250521790,235313667,,,2
643864203,234047715,264491620,,,2
643865712,212279657,221747770,,,2
646609576,250320949,243374965,,,2
646609577,249920531,275617669,,,2
646609675,250257560,268613565,,,2
646611623,277951141,234988639,,,2
646611624,252289137,220358426,,,2
646611628,293595670,251957562,,,2
646611632,266560818,233831660,,,2
646611635,298219815,237654222,,,2
646611737,220671432,273704668,,,2
646611744,299885348,257288473,,,2
646614111,221830620,261095927,,,2
646614113,265134439,264236157,,,2
646614119,266106285,218695758,,,2
646614126,220258586,233406021,,,2
646614128,247778722,298906888,,,2
647337479,220279619,240841832,,,2
647337486,236415548,268159381,,,2
647337488,231379409,273184649,,,2
647344732,281370116,246532481,,,2
647351694,229913431,278000425,,,2
647351696,273844965,255764791,,,2
647351698,210659296,245432749,,,2
647351700,220787643,293236410,,,2
647351702,230841365,271428978,,,2
647361120,256038750,222039402,,,2
647397855,254746393,240303611,,,2
647406185,254145912,253872072,,,2
647406187,271404898,287130583,,,2
647406189,210986392,269691206,,,2
647406191,264541695,250232011,,,2
647406192,297932043,251052007,,,2
647409892,292377884,270061074,,,2
647409902,285492867,259751678,,,2
647409908,292382913,215053604,,,2
647409910,289657242,260210841,,,2
647409911,219628959,257279470,,,2
647412964,233177816,,,,1
647412966,251007326,260708559,,,2
647412968,283069121,,,,1
647423106,229770297,272781031,,,2
647424160,249741104,231962224,,,2
658229423,234708047,221269958,,,2
658229425,248264973,,,,1
660350712,242165639,,,,1
660350713,255050450,253711872,,,2
660350714,226563968,294543742,,,2
680165732,232379233,298212204,,,2
680165735,292450509,251695977,,,2
680165740,296139149,270565021,,,2
680165743,298607478,,,,1
680250309,245175037,258258818,,,2
680350995,245857005,280097406,,,2
721676291,235039475,289950082,,,2
721676299,228458846,218657304,,,2
722290133,279336760,283166538,,,2
722290134,248264973,279336760,,,2
722290136,283166538,,,,1
723003789,274074140,283737828,,,2
723003790,263379889,275132201,,,2
723003792,212215446,275132201,,,2
783717509,212206289,234772227,,,2
783717510,290893982,251018964,,,2
783717511,299226408,246536594,,,2
783717513,210058408,277480364,,,2
783717516,294425052,280668231,,,2
783717517,254995560,254949828,,,2
783720556,220654487,261950534,,,2
783720557,245166494,246615738,,,2
783720558,212570493,232396688,,,2
783720560,293518317,273613326,,,2
787816833,240372240,236026645,,,2
787822921,224673796,261919985,,,2
787822924,219262701,248204487,,,2
787822926,227172907,243353347,,,2
