stmPedRampID,stmPedRampCrossingLinkID1,stmPedRampCrossingLinkID2,stmPedRampCrossingLinkID3,stmPedRampCrossingLinkID4,stmPedRampLongitudeVideoLinear,stmPedRampLatitudeVideoLinear,stmPedRampWidth,stmPedRampSlope,stmPedRampCrossSlope,stmPedRampGutterSlope,stmPedRampPassingWidth,stmPedRampPassingCrossSlope,stmPedRampFlareSlopeLeft,stmPedRampFlareSlopeRight,stmPedRampSmooth,stmPedRampFlushAtTop,stmPedRampFlushAtBottom,stmPedRampFlushAtStreet,stmPedRampWarningSurfacePresent,stmPedRampWarningSurfaceCondition,stmPedRampTransitionSlopeLeft,stmPedRampTransitionSlopeRight,stmPedRampLandingCrossSlope
210009339,807824065,,,,-83.9842846,33.9491312,,,,,,,,,,-999,,,-999,,,,
210013854,1225326327,1225326328,,,-84.2135829,33.9427784,,,,,,,,,,,,,,,,,
210021740,1225936514,,,,-84.2256572,33.9356975,,,,,,,,,,,,,,,,,
210034956,1221908710,,,,-84.2383038,33.9599256,,,,,,,,,,,,,,,,,
210038029,1239218652,,,,-84.2801293,33.9155791,,,,,,,,,,,,,-999,,,,
210041496,1215622455,,,,-84.0879332,33.9889092,,,,,,,,,,,,,,,,,
210052450,1221782238,,,,-84.0193973,33.9672575,,,,,,,,,,,,,,,,,
210058408,783717513,1101523360,,,-83.9885329,33.9502391,,,-999,,,,,,,,,,,-999,,,
210067642,1216329289,,,,-84.206676,33.9100715,,,,,,,,,,,-999,,,,,,
210078185,635457572,,,,-83.9866153,33.9743919,,,,,,,,,,,,,,,,,
210084316,1225037228,,,,-84.0924021,33.9521023,,,,,,,,,,,,,,,,,
210111643,1221577588,,,,-84.2414778,33.9513511,,,,,,,,,,,,,,,,,
210125901,1225326672,,,,-84.0790156,33.9768401,,,,,,,,,,,,,,-999,,,
210131951,1107979534,,,,-83.9860036,33.951482,,,,,-999,,,,,,,,,,,,
210140672,1236748269,,,,-84.2523006,33.9227893,,,,,,,,,,,,,-999,,,,
210144389,1202049599,,,,-83.988257,33.9453891,,,,,,,,,,,,,,,,,
210151811,1226026991,,,,-84.0235504,33.9666986,,,,,,,,,,,,,,,,,
210161103,1251831915,1251831917,,,-84.069204,33.9731503,,,,,,,,,,,,,,,,,
210170200,1221560731,,,,-84.1398682,33.9638612,,,,,,,,,,,,,,,,,
210178967,1223051945,,,,-84.2642619,33.9119633,,,,,,,,,,,,,,,,,
210188782,1229793360,,,,-84.2263239,33.9314311,,,,,,,,,,,,,,,,,
210210177,1226002511,,,,-84.2277543,33.9473948,,,,,,,,,,,,,,,,,
210255080,788014958,1221886319,,,-84.1724862,33.9226706,,,,,,,,,,,,,,,,,
210264750,1225326315,1225326318,,,-84.2136124,33.9410952,,,,,,,,,,,,,,,,,
210271493,1201573778,,,,-83.9962938,33.9533733,,,,,-999,,,,,,,,,,,,
210357591,1219010782,,,,-84.130527,33.9457341,,,,,,,,,,,,,,,,,
210423916,1217565816,,,,-84.1610301,33.8840319,,,,,,,,,,,,,-999,,,,
210434465,1220380967,,,,-84.0829801,33.9495869,,,,,,,,,,,,,-999,,,,
210446130,634425117,,,,-83.9827092,33.9410886,,,,,,,,,,,,,-999,,,,
210455776,1224622498,1224622499,,,-84.1886985,33.9379539,,,,,,,,,,,,,,,,,
210461767,1202050244,1202050245,,,-83.9885382,33.9587083,,,,,,,,,,,,,,,,,
210462746,1220053386,,,,-84.1837394,33.97217,,,,,,,,,,,,,-999,,,,
210465254,1221883443,,,,-84.16326,33.9380876,,,,,,,,,,,,,,,,,
210470383,1218924933,,,,-84.1829764,33.9081974,,,,,,,,,,,,,-999,,,,
